id, masv_tham so dau, masv, namsinh, gioitinh, noisinh, lopsh, khoa, hedt, khoahoc, chuyennganh2, tinhtrang, diachi_tinhtp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1352,9C8782A5XPvAibaEXe9lF2o7VejWNskIJ3b/KH8Y,1995,1, Kh·nh Ho‡, MMTT0001, MMT&TT, CQUI,8, D480102,3, Tânh Kh·nh Ho‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1352,4DD248D9XPvAibaEXe+6MN9FoW2mqeloV0TjpGtd,1995,1, C?n Th?, MTCL2013, KTMT, CLC,8, D520214,3, Th‡nh phë C?n Th?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1352,FF601AFCXPvAibaEXe93PEySAJOVk+OR7t0UZryF,1991,1, Kh·nh Ho‡, CNTT2013, KTTT, CQUI,8, D480201,3, Tânh Kh·nh Ho‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1352,F257BE3EXPvAibaEXe+lo6eJkHWaQX9v5OomNEKz,1995,1, Kh·nh Ho‡, KTPM0001, CNPM, CQUI,8, D480103,3, Tânh Kh·nh Ho‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1352,933C1FD5XPvAibaEXe9M021iVaAwILPVFi2513M9,1995,0, Gia Lai, KTPM2013, CNPM, CQUI,8, D480103,3, Thã x„ An KhÍ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1352,C29EA000XPvAibaEXe8jolcsAIssTLKSQEcU+Uyk,1995,1, Ti?n Giang, MMTT0001, MMT&TT, CQUI,8, D480102,3, Tânh Ti?n Giang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1352,931C7551XPvAibaEXe9ysTifnGoMwRbIrVzkrPrw,1995,1, V?nh Long, ANTT2013, MMT&TT, CQUI,8, D480201,5, Huyán BÏnh T‚n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1352,7081FE0AXPvAibaEXe/WSo41+3xFkBWpG5iRJavV,1995,1, TP. Hì ChÌ Minh, KTMT2013, KTMT, CQUI,8, D520214,3, Qu?n Th? ??c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1352,1144C476XPvAibaEXe/FejQN8/S5fMTeBtQ6DFpo,1995,1, TP. Hì ChÌ Minh, KHMT2013, KHMT, CQUI,8, D480101,3, Qu?n Th? ??c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1352,E80CFC67XPvAibaEXe+fmxcqgvribAs3hMtuYLgw,1995,0, SÙng BÈ, MMTT0001, MMT&TT, CQUI,8, D480102,3, Ph??ng Ph˙ C??ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1352,59CD26EEXPvAibaEXe8wlx2/dthDAuMmTWFxVmcu,1994,1, Th‡nh phë Hì ChÌ Minh, MMTT0001, MMT&TT, CQUI,8, D480102,8, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1352,ADD6626AXPvAibaEXe/SxwNRab2vgDj3JMKIXWrE,1995,1, KiÍn Giang, KHMT0001, KHMT, CQUI,8, D480101,3, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1352,4AFE5A8EXPvAibaEXe9MLbI3cCq2BMqcbjt1Z6h0,1995,1, L‚m ?ìng, ANTT2013, MMT&TT, CQUI,8, D480299,3, Tânh L‚m ?ìng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1352,809877DCXPvAibaEXe8/3iNqySORb/0vLoIti8Og,1994,1, TP. Hì ChÌ Minh, PMCL2013, CNPM, CLC,8, D480103,3, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1352,C4B57B74XPvAibaEXe+wmtNhlfgIwrNTVgutCknX,1995,1, H?i D??ng, MMTT0001, MMT&TT, CQUI,8, D480102,8, Tânh L‚m ?ìng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1352,F0D55309XPvAibaEXe9JdUmjPcaT8jvBqJAmS4kY,1995,1, L‚m ?ìng, KHMT2013, KHMT, CQUI,8, D480101,5, Huyán Di Linh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1352,C47110EFXPvAibaEXe/PGAaNNWvbUF95KJJbQ6Bs,1995,1, KiÍn Giang, ANTT2013, MMT&TT, CQUI,8, D480299,3, Tânh KiÍn Giang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1352,074D8586XPvAibaEXe8s1xx8DWM0qvMydWkQI9z8,1995,1, Tr‡ Vinh, MMTT0001, MMT&TT, CQUI,8, D480299,3, Tânh Tr‡ Vinh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1352,FE92B059XPvAibaEXe9E+KuE/nFliSKxEUGPiMAY,1995,0, TP. Hì ChÌ Minh, KTPM0001, CNPM, CQUI,8, D480103,3, Huyán ??c Ho‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1352,C57530A4XPvAibaEXe8hvnm4ihleLVTcBUD7ztLV,1995,0, TP. Hì ChÌ Minh, MMTT2013, MMT&TT, CQUI,8, D480102,5, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1352,3E479342XPvAibaEXe+kwIr/VXjl01D1BeeuKZAN,1995,1, Nam ?ãnh, KTPM0001, CNPM, CQUI,8, D480103,5, Tânh L‚m ?ìng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1352,601E0986XPvAibaEXe+y4Ivhjp8SxpmSs9JVmGUu,1995,1, TP. Hì ChÌ Minh, KTMT0001, KTMT, CQUI,8, D520214,3, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1352,E210AA8EXPvAibaEXe/asAVnWDRS7eUZUTEqhAQl,1995,1, TP. Hì ChÌ Minh, MMTT2013, MMT&TT, CQUI,8, D480102,5, Th‡nh phë H?i PhÚng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1352,5B67FF77XPvAibaEXe/SxwNRab2vgHQoiSebh7by,1995,1, Qu?ng Nam, KTMT0001, KTMT, CQUI,8, D520214,3, Tânh Qu?ng Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1352,A71E7B7EXPvAibaEXe+gsTDvgY5pDvugtLkA9WY2,1995,1, H?i D??ng, MMTT0001, MMT&TT, CQUI,8, D480299,8, Huyán Kinh MÙn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1352,9CB66503XPvAibaEXe9E+KuE/nFliVHlSAEdjpcv,1995,1, BÏnh Thu?n, CNTT0001, KTTT, CQUI,8, D480201,3, Tânh BÏnh Thu?n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1352,A406E7FDXPvAibaEXe/XBbLEWRhgQYQrAzwms21C,1995,1, TP. Hì ChÌ Minh, KTMT0001, KTMT, CQUI,8, D520214,3, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1352,6E67EB19XPvAibaEXe/X/wixypGyAsT5QiAaYiqu,1995,1, Tr‡ Vinh, MMTT0001, MMT&TT, CQUI,8, D480102,3, Tânh Tr‡ Vinh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1352,62200A76XPvAibaEXe9/su+qLcYDMsQRQ0KM5NHU,1995,1, Qu?ng BÏnh, KHMT2013, KHMT, CQUI,8, D480101,3, Tânh Qu?ng BÏnh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1352,0CBE4487XPvAibaEXe+fmxcqgvribAaiAPDGKOrx,1995,1, TP. Hì ChÌ Minh, CTTT2013, HTTT, CTTT,8, D480104,5, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1352,2441A7C2XPvAibaEXe8VekUw4ELehn5inKXOCKf2,1995,1, Qu?ng Ng„i, KTPM0001, CNPM, CLC,8, D480103,3, Tânh Qu?ng Ng„i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1352,C76005A8XPvAibaEXe/X/wixypGyAg54ZpujWGey,1995,1, L‚m ?ìng, HTTT2013, HTTT, CQUI,8, D480104,3, Tânh L‚m ?ìng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1352,52E66659XPvAibaEXe/7sxkigC7f5zukR2WlNRO3,1995,1, Qu?ng Ng„i, KTMT0001, KTMT, CQUI,8, D520214,8, Tânh Qu?ng Ng„i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1352,516D213CXPvAibaEXe9JdUmjPcaT8sQIfWYBArTw,1995,1, Qu?ng Ng„i, HTTT2013, HTTT, CQUI,8, D480104,5, TÏnh Qu?ng Ng„i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1352,41EBF544XPvAibaEXe8/3iNqySORb+za0yWMmptx,1995,1, L‚m ?ìng, MMTT0001, MMT&TT, CQUI,8, D480299,5, Tânh L‚m ?ìng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1352,6EB4408FXPvAibaEXe+cD1fKElqxL06nWB8JXnUx,1995,1, L‚m ?ìng, HTTT2013, HTTT, CQUI,8, D480104,5, Tânh L‚m ?ìng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1352,B5953D10XPvAibaEXe+BHZkA9XgGXWnkm2L+acxT,1995,1, Qu?ng Ng„i, KHMT2013, KHMT, CQUI,8, D480101,3, TÏnh Qu?ng Ng„i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1352,BAA21E56XPvAibaEXe9Xnw4t0GPgx5ergjwY9IdE,1994,1, TP. Hì ChÌ Minh, MMTT0001, MMT&TT, CQUI,8, D480102,5, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1352,B3078280XPvAibaEXe9KDsVv3cRkMR3THeDfuZST,1995,1, Qu?ng Ng„i, MMTT2013, MMT&TT, CQUI,8, D480102,5, Tânh Qu?ng Ng„i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1352,2ABBE719XPvAibaEXe9hPQQhQOOPyUJ9WJU9hlCM,1995,1, B?n Tre, HTTT2013, HTTT, CQUI,8, D480104,3, Tânh L‚m ?ìng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1352,AA971F36XPvAibaEXe+fmxcqgvribA5vxtc+V0/y,1995,1, TP. Hì ChÌ Minh, KTMT2013, KTMT, CQUI,8, D520214,5, Th‡nh phë T‚y Ninh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1352,CD84523EXPvAibaEXe+LLvbxzunmJA9YRcwSMo7A,1995,1, TP. Hì ChÌ Minh, PMCL2013, CNPM, CLC,8, D480103,5, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1352,CD52678BXPvAibaEXe97hU2RTHdNnHA5E5DKdC+D,1995,1, ?ìng Th·p, KTPM2013, CNPM, CQUI,8, D480103,3, Th‡nh phë Sa ?Èc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1352,55D02CB4XPvAibaEXe9M021iVaAwIAQL8BalJRN4,1995,0, Ti?n Giang, MMTT2013, MMT&TT, CQUI,8, D480102,3, Tânh Ti?n Giang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1352,FF648425XPvAibaEXe97hU2RTHdNnAuHAKPICPTO,1995,1, L‚m ?ìng, KTPM0001, CNPM, CQUI,8, D480103,5, Huyán Di Linh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1352,C2100719XPvAibaEXe/BqA0y8R3TRcJ/JtkxsBzj,1995,1, Ninh Thu?n, KHMT0001, KHMT, CQUI,8, D480101,3, Tânh Ninh Thu?n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1352,E99E9EA2XPvAibaEXe+LLvbxzunmJFOIkyW9ng8u,1995,1, Qu?ng Ng„i, ANTN2013, MMT&TT, KSTN,8, D480299,3, Tânh Qu?ng Ng„i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3734,1252,31D5D488XPvAibaEXe85Kg8gbEhwbxD0x3mi2el8,1994,1, BÏnh ?ãnh, CTTT2013, HTTT, CTTT,8, D480104,5, Tânh Gia Lai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8255,1352,7E308531XPvAibaEXe879+AOg1gh8i58Q/VMq7RU,1995,1, Ti?n Giang, KHMT2013, KHMT, CQUI,8, D480101,5, Tânh Ti?n Giang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8256,1352,0FCB6532XPvAibaEXe879+AOg1gh8o0EEQcYQ8HR,1995,1, TP. Hì ChÌ Minh, KTPM2013, CNPM, CQUI,8, D480103,5, Tânh V?nh Ph˙c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8257,1352,BAF446BFXPvAibaEXe879+AOg1gh8uQrEauqA0AG,1995,1, L‚m ?ìng, MMTT2013, MMT&TT, CQUI,8, D480102,3, Tânh L‚m ?ìng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8258,1352,599DFFB8XPvAibaEXe879+AOg1gh8lJvChSN7o+V,1995,1, An Giang, KTPM0001, CNPM, CQUI,8, D480103,5, Tânh An Giang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8259,1352,364B9E9BXPvAibaEXe879+AOg1gh8sRVdBmZSiXe,1995,0, B‡ Rãa - V?ng T‡u, MMTT0001, MMT&TT, CQUI,8, D480102,3, Th‡nh phë B‡ Rãa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8260,1352,BBAD4F2BXPvAibaEXe879+AOg1gh8vGaQYZ3wJAR,1995,1, TP. Hì ChÌ Minh, KHTN2013, KHMT, CNTN,8, D480101,3, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8261,1352,88C15831XPvAibaEXe879+AOg1gh8uMWWp9sXQnJ,1995,1, TP. Hì ChÌ Minh, KTPM0001, CNPM, CLC,8, D480103,3, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8262,1352,FC77E598XPvAibaEXe879+AOg1gh8pb/q8KzJ2A3,1995,1, Th?a ThiÍn Hu?, ANTN2013, MMT&TT, KSTN,8, D480299,3, Tânh Th?a ThiÍn Hu?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8263,1352,9E9A38AEXPvAibaEXe879+AOg1gh8jBg5Ccj9ksF,1994,1, KiÍn Giang, HTTT0001, HTTT, CQUI,8, D480104,8, Huyán KiÍn L??ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8264,1352,140E6C4CXPvAibaEXe/asAVnWDRS7Te/6FHN3JZ9,1995,1, Kon Tum, KTMT0001, KTMT, CQUI,8, D520214,8, Tânh Kon Tum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8265,1352,A6EA9F79XPvAibaEXe/asAVnWDRS7dXIHpGvggPH,1995,1, V?nh Long, KTMT2013, KTMT, CQUI,8, D520214,3, Tânh V?nh Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8267,1352,F9AD085CXPvAibaEXe/asAVnWDRS7ejs/e1rGnUq,1995,1, T‚y Ninh, KTMT0001, KTMT, CQUI,8, D520214,3, Tânh T‚y Ninh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8268,1352,B1460568XPvAibaEXe/asAVnWDRS7f+aMPJ9kBjL,1995,0, Ninh Thu?n, KHMT0001, KHMT, CQUI,8, D480101,8, Tânh Ninh Thu?n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8269,1352,32CA7383XPvAibaEXe/asAVnWDRS7W3J9+TvE5ZI,1995,1, H‡ Nôi, HTTT2013, HTTT, CQUI,8, D480104,5, Th‡nh phë BiÍn Ho‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8270,1352,85A1EF64XPvAibaEXe/asAVnWDRS7aDwG/eutYGP,1995,1, TP. Hì ChÌ Minh, PMCL2013, CNPM, CLC,8, D480103,3, Huyán BÏnh Ch·nh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,1352,E68386BCXPvAibaEXe/asAVnWDRS7bT1MwA0tQQ/,1995,1, ?ìng Nai, KTMT2013, KTMT, CQUI,8, D520214,5, TÏnh ?ìng Nai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8272,1352,786BE3EBXPvAibaEXe/asAVnWDRS7UAj1YtnlMWY,1995,1, KiÍn Giang, KHMT2013, KHMT, CQUI,8, D480101,3, Huyán An BiÍn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8273,1352,F585674DXPvAibaEXe93PEySAJOVk6T3mUZtHkOx,1995,1, C?n Th?, KTPM2013, CNPM, CQUI,8, D480103,3, Th‡nh phë C?n Th?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8274,1352,9095EEE4XPvAibaEXe93PEySAJOVk2kOrJQCpxlr,1995,0, ?ìng Nai, TMƒêT2013, HTTT, CQUI,8, D52480104,3, Th‡nh phë BiÍn Ho‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8275,1352,246BFB8AXPvAibaEXe93PEySAJOVk7f1TlF/mfrO,1994,1, Th‡nh phë Hì ChÌ Minh, CNTT0001, KTTT, CQUI,8, D480201,8, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8276,1352,9593C5A1XPvAibaEXe93PEySAJOVkwyGf+OwqHPe,1995,1, BÏnh Thu?n, HTTT2013, HTTT, CQUI,8, D480104,3, Tânh BÏnh Thu?n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8277,1352,B652E11DXPvAibaEXe93PEySAJOVkyJM7AttkNBy,1995,0, L‚m ?ìng, MMTT0001, MMT&TT, CQUI,8, D480102,3, Huyán ??c Tr?ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279,1352,D563BE5EXPvAibaEXe93PEySAJOVk29BEIkXUhF+,1995,0, BÏnh Thu?n, KTPM2013, CNPM, CQUI,8, D480103,3, Tânh BÏnh Thu?n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8280,1352,98247E19XPvAibaEXe93PEySAJOVkxsz+HIviyYJ,1995,1, C?n Th?, HTTT0001, HTTT, CQUI,8, D52480104,5, Th‡nh phë C?n Th?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8281,1352,94D07C75XPvAibaEXe93PEySAJOVk2ldmZ8HMbbn,1995,1, TP. Hì ChÌ Minh, MMTT2013, MMT&TT, CQUI,8, D480102,5, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8282,1352,33472657XPvAibaEXe8ge2UHv4J4BwEOqNnp7N/7,1995,0, TP. Hì ChÌ Minh, KTMT2013, KTMT, CQUI,8, D520214,5, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8283,1352,04F89839XPvAibaEXe8ge2UHv4J4B7N8hGEpTcLN,1995,1, Kh·nh Ho‡, KHTN2013, KHMT, CNTN,8, D480101,3, Tânh Kh·nh Ho‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8285,1352,4CD37F46XPvAibaEXe8ge2UHv4J4Byyo6uzLKM42,1995,1, Thanh Ho·, KTMT0001, KTMT, CQUI,8, D520214,3, Tânh BÏnh D??ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8286,1352,C1A9FD65XPvAibaEXe8ge2UHv4J4BztlfCscqMWw,1995,1, Nghá An, CNTT0001, KTTT, CQUI,8, D480201,8, Tânh Nghá An,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8287,1352,5236793DXPvAibaEXe8ge2UHv4J4B3cK3m4MI0jB,1995,1, Qu?ng Ng„i, HTTT0001, HTTT, CQUI,8, D480104,3, Tânh Qu?ng Ng„i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8288,1352,7CAAEE6BXPvAibaEXe8ge2UHv4J4B+kFXfDUb6ad,1995,1, BÏnh ?ãnh, KTPM0001, CNPM, CQUI,8, D480103,3, Tânh BÏnh ?ãnh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8289,1352,97CE096EXPvAibaEXe8ge2UHv4J4B99T3E9bmk5q,1993,1, Th‡nh phë Hì ChÌ Minh, KHMT0001, KHMT, CQUI,8, D480101,8, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8290,1352,1CE4CDB2XPvAibaEXe8ge2UHv4J4ByS1Gt3OtWsA,1995,1, TP. Hì ChÌ Minh, KHMT0001, KHMT, CQUI,8, D480101,3, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
